Field Name,Field Description,Outer Type Name,Outer Type Kind,Arg Name,Arg Description,Arg Type,Arg Kind,Inner Type Name,Inner Type Kind
liveVideoOverride,,,NON_NULL,tourCode,,,NON_NULL,TourCode,ENUM
liveVideoOverride,,,NON_NULL,tournamentId,,,NON_NULL,String,SCALAR
videoLandingPage,,WatchLanding,OBJECT,tourCode,,,NON_NULL,TourCode,ENUM
videoNavigation,,VideoNavigation,OBJECT,tourCode,,,NON_NULL,TourCode,ENUM
contentFragmentTabs,,,NON_NULL,path,,,NON_NULL,String,SCALAR
ryderCupContentPageTabs,,,NON_NULL,path,,,NON_NULL,String,SCALAR
scatterData,,,NON_NULL,tournamentId,,,NON_NULL,String,SCALAR
scatterData,,,NON_NULL,course,,,NON_NULL,Int,SCALAR
scatterData,,,NON_NULL,hole,,,NON_NULL,Int,SCALAR
scatterDataCompressed,,,NON_NULL,tournamentId,,,NON_NULL,String,SCALAR
scatterDataCompressed,,,NON_NULL,course,,,NON_NULL,Int,SCALAR
scatterDataCompressed,,,NON_NULL,hole,,,NON_NULL,Int,SCALAR
signatureStandings,,,NON_NULL,tourCode,,,NON_NULL,TourCode,ENUM
franchises,,,NON_NULL,tourCode,,String,SCALAR,,
videoFranchises,,TourCategories,OBJECT,tourCode,,TourCode,ENUM,,
newsFranchises,,,NON_NULL,tourCode,,String,SCALAR,,
newsFranchises,,,NON_NULL,allFranchises,,Boolean,SCALAR,,
podcastEpisodes,,,NON_NULL,podcastId,,,NON_NULL,String,SCALAR
podcastEpisodes,,,NON_NULL,limit,,Int,SCALAR,,
podcastEpisodes,,,NON_NULL,offset,,Int,SCALAR,,
leaderboardV2,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardV3,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardStrokes,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardStrokesCompressed,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardStats,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardStats,,,NON_NULL,statsType,,LeaderboardStatsType,ENUM,,
tournamentPastResults,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
tournamentPastResults,,,NON_NULL,year,,Int,SCALAR,,
leaderboardCompressedV2,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardCompressedV3,  Get the leaderboard for a tournament by tournamentID. The data in the payload property will be Base64 encoded.,,NON_NULL,id,,,NON_NULL,ID,SCALAR
teamStrokePlayLeaderboard,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
teamStrokePlayLeaderboardCompressed,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
teamStrokePlayScorecard,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
teamStrokePlayScorecard,,,NON_NULL,roundNum,,,NON_NULL,Int,SCALAR
teamStrokePlayScorecard,,,NON_NULL,teamId,,,NON_NULL,ID,SCALAR
teamStrokePlayScorecardRounds,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
teamStrokePlayScorecardRounds,,,NON_NULL,teamId,,,NON_NULL,ID,SCALAR
teamStrokePlayTeeTimes,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
teamStrokePlayTeeTimesCompressed,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
matchPlayLeaderboard,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
matchPlayLeaderboardCompressed,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
matchPlayScorecard,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
matchPlayScorecard,,,NON_NULL,roundNum,,,NON_NULL,Int,SCALAR
matchPlayScorecard,,,NON_NULL,matchId,,,NON_NULL,ID,SCALAR
matchPlayPlayoffScorecard,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
matchPlayPlayoffScorecard,,,NON_NULL,roundNum,,,NON_NULL,Int,SCALAR
matchPlayPlayoffScorecard,,,NON_NULL,matchId,,,NON_NULL,ID,SCALAR
matchPlayTeeTimes,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
matchPlayTeeTimesCompressed,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
matchPlayScorecardResults,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
matchPlayScorecardResults,,,NON_NULL,roundNum,,,NON_NULL,Int,SCALAR
matchPlayScorecardResults,,,NON_NULL,matchId,,,NON_NULL,ID,SCALAR
groupStageRankings,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
leaderboardOddsToWinV2,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
leaderboardOddsToWinCompressedV2,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
schedule,,,NON_NULL,tourCode,,,NON_NULL,String,SCALAR
schedule,,,NON_NULL,year,,String,SCALAR,,
schedule,,,NON_NULL,filter,,TournamentCategory,ENUM,,
completeSchedule,,,NON_NULL,tourCode,,,NON_NULL,TourCode,ENUM
completeSchedule,,,NON_NULL,filter,,TournamentCategory,ENUM,,
upcomingSchedule,,,NON_NULL,tourCode,,,NON_NULL,String,SCALAR
upcomingSchedule,,,NON_NULL,year,,String,SCALAR,,
upcomingSchedule,,,NON_NULL,filter,,TournamentCategory,ENUM,,
scorecardV2,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
scorecardV2,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
scorecardCompressedV3,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
scorecardCompressedV3,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
scorecardV3,,,NON_NULL,tournamentId,,,NON_NULL,ID,SCALAR
scorecardV3,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
scorecardStats,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
scorecardStats,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
scorecardStatsV3Compressed,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
scorecardStatsV3Compressed,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
scorecardStatsV3,,,NON_NULL,id,,,NON_NULL,ID,SCALAR
scorecardStatsV3,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
historicalScorecardStats,,,NON_NULL,playerId,,,NON_NULL,ID,SCALAR
